DATE;IPG2211A2N
01/01/1985;72.6803
01/02/1985;70.8479
01/03/1985;62.6166
01/04/1985;57.6106
01/05/1985;55.4467
01/06/1985;58.2228
01/07/1985;62.7591
01/08/1985;63.3921
01/09/1985;60.7507
01/10/1985;56.4553
01/11/1985;58.1385
01/12/1985;68.8758
01/01/1986;73.4956
01/02/1986;68.1637
01/03/1986;62.3923
01/04/1986;57.1915
01/05/1986;55.9599
01/06/1986;60.0336
01/07/1986;65.9077
01/08/1986;64.6450
01/09/1986;61.1742
01/10/1986;57.6978
01/11/1986;59.4964
01/12/1986;68.3302
01/01/1987;74.0173
01/02/1987;70.2540
01/03/1987;65.7966
01/04/1987;60.3229
01/05/1987;59.0245
01/06/1987;64.0345
01/07/1987;69.0282
01/08/1987;70.2369
01/09/1987;64.2987
01/10/1987;60.5402
01/11/1987;62.6219
01/12/1987;70.7671
01/01/1988;80.0833
01/02/1988;76.3631
01/03/1988;70.4954
01/04/1988;63.4244
01/05/1988;61.5776
01/06/1988;67.2741
01/07/1988;73.1676
01/08/1988;75.9479
01/09/1988;67.7223
01/10/1988;63.4592
01/11/1988;65.2706
01/12/1988;74.0492
01/01/1989;78.1368
01/02/1989;76.8499
01/03/1989;73.5377
01/04/1989;65.2676
01/05/1989;63.8617
01/06/1989;68.6587
01/07/1989;74.2491
01/08/1989;75.2704
01/09/1989;69.5107
01/10/1989;66.0620
01/11/1989;69.2555
01/12/1989;84.4040
01/01/1990;84.6447
01/02/1990;77.4221
01/03/1990;73.4205
01/04/1990;67.4636
01/05/1990;66.0145
01/06/1990;71.6535
01/07/1990;76.8376
01/08/1990;77.3265
01/09/1990;73.2770
01/10/1990;67.6237
01/11/1990;68.7675
01/12/1990;77.9179
01/01/1991;86.2914
01/02/1991;77.8027
01/03/1991;73.6061
01/04/1991;67.3549
01/05/1991;69.0228
01/06/1991;75.0839
01/07/1991;80.3488
01/08/1991;79.4052
01/09/1991;73.8126
01/10/1991;68.9572
01/11/1991;72.7156
01/12/1991;79.7391
01/01/1992;85.5560
01/02/1992;80.4178
01/03/1992;74.7390
01/04/1992;69.8367
01/05/1992;67.3781
01/06/1992;71.4197
01/07/1992;77.7263
01/08/1992;76.7791
01/09/1992;72.5681
01/10/1992;69.2363
01/11/1992;73.7175
01/12/1992;84.7818
01/01/1993;88.2287
01/02/1993;84.7919
01/03/1993;79.6885
01/04/1993;71.2731
01/05/1993;67.9111
01/06/1993;74.5503
01/07/1993;82.3366
01/08/1993;82.2906
01/09/1993;74.8323
01/10/1993;69.8758
01/11/1993;74.6278
01/12/1993;84.4669
01/01/1994;94.4017
01/02/1994;87.4053
01/03/1994;79.4751
01/04/1994;71.1817
01/05/1994;69.5934
01/06/1994;78.1988
01/07/1994;83.5287
01/08/1994;82.1321
01/09/1994;75.9181
01/10/1994;71.4802
01/11/1994;75.4754
01/12/1994;85.0772
01/01/1995;92.7412
01/02/1995;87.6670
01/03/1995;81.5205
01/04/1995;74.0457
01/05/1995;73.5003
01/06/1995;78.5503
01/07/1995;86.2425
01/08/1995;89.8063
01/09/1995;78.7442
01/10/1995;73.9353
01/11/1995;79.8903
01/12/1995;91.0933
01/01/1996;99.2688
01/02/1996;93.1691
01/03/1996;87.2075
01/04/1996;77.4715
01/05/1996;76.9337
01/06/1996;82.1958
01/07/1996;86.2321
01/08/1996;86.8240
01/09/1996;79.4425
01/10/1996;74.9110
01/11/1996;81.3000
01/12/1996;90.7530
01/01/1997;98.7482
01/02/1997;90.0486
01/03/1997;83.2671
01/04/1997;76.3793
01/05/1997;74.0777
01/06/1997;80.0138
01/07/1997;88.7168
01/08/1997;88.0487
01/09/1997;82.1801
01/10/1997;77.7266
01/11/1997;82.2802
01/12/1997;92.3623
01/01/1998;95.0701
01/02/1998;88.0838
01/03/1998;86.8125
01/04/1998;76.9828
01/05/1998;78.2652
01/06/1998;86.7123
01/07/1998;94.1078
01/08/1998;93.7954
01/09/1998;87.7915
01/10/1998;80.3296
01/11/1998;81.6742
01/12/1998;91.9551
01/01/1999;102.4467
01/02/1999;91.4671
01/03/1999;91.0236
01/04/1999;80.7497
01/05/1999;79.6373
01/06/1999;88.1204
01/07/1999;97.7757
01/08/1999;96.7014
01/09/1999;87.4885
01/10/1999;80.8647
01/11/1999;82.4395
01/12/1999;94.7746
01/01/2000;102.4971
01/02/2000;94.5218
01/03/2000;88.3463
01/04/2000;81.6662
01/05/2000;84.7235
01/06/2000;91.3293
01/07/2000;96.3011
01/08/2000;99.6734
01/09/2000;90.9515
01/10/2000;83.3780
01/11/2000;88.2458
01/12/2000;102.6901
01/01/2001;109.3416
01/02/2001;97.3953
01/03/2001;93.0564
01/04/2001;83.1332
01/05/2001;82.7827
01/06/2001;90.6648
01/07/2001;96.3283
01/08/2001;99.8132
01/09/2001;88.5136
01/10/2001;82.9006
01/11/2001;83.1461
01/12/2001;93.2796
